date,AMD,AMG,EQIX,JKHY,NEM,portfolio_value
2015-05-12 00:00:00+00:00,2.35,221,259.3,65,26.65,853.4789214
2015-05-13 00:00:00+00:00,2.37,220.96,259.68,65.01,27.31,856.4152185
2015-05-14 00:00:00+00:00,2.33,223.37,261.41,65.61,27.2,863.2430438
2015-05-15 00:00:00+00:00,2.32,222.4,260.4,65.03,27.69,861.760629
2015-05-18 00:00:00+00:00,2.35,224.8,262.29,65.69,27.55,868.8570998
2015-05-19 00:00:00+00:00,2.28,224.34,263.68,65.62,27.05,865.6136613
2015-05-20 00:00:00+00:00,2.32,225.71,269.9,65.37,27.66,873.5791563
2015-05-21 00:00:00+00:00,2.28,225.46,268.22,64.99,27,868.93209
2015-05-22 00:00:00+00:00,2.28,224.88,268,65.1,27.01,867.5619545
2015-05-26 00:00:00+00:00,2.22,222.63,266.77,64.2,26.55,858.0703381
2015-05-27 00:00:00+00:00,2.28,224.85,270.01,65.15,27.03,868.2833607
2015-05-28 00:00:00+00:00,2.27,225.04,269.19,65.09,27.47,870.2647037
2015-05-29 00:00:00+00:00,2.28,223.66,268.07,65.08,27.24,865.4278187
2015-06-01 00:00:00+00:00,2.25,223.09,270.15,65.1,27.17,864.245001
2015-06-02 00:00:00+00:00,2.3,224.74,268.95,65.1,26.95,867.3396711
2015-06-03 00:00:00+00:00,2.28,226.07,266.14,65.74,26.38,868.1139504
2015-06-04 00:00:00+00:00,2.33,223.02,263.06,64.98,26.8,860.3808448
2015-06-05 00:00:00+00:00,2.33,222.15,263.05,65.38,25.91,854.8601107
2015-06-08 00:00:00+00:00,2.31,220.21,261.45,65.04,25.84,848.5799062
2015-06-09 00:00:00+00:00,2.29,218.48,257.81,64.79,24.41,836.4815915
2015-06-10 00:00:00+00:00,2.32,223.86,260.37,65.22,23.7,848.6763666
2015-06-11 00:00:00+00:00,2.32,224.15,260.93,65.93,23.66,850.3212824
2015-06-12 00:00:00+00:00,2.31,221.65,260.72,65.53,23.55,842.8566858
2015-06-15 00:00:00+00:00,2.32,221.23,255.86,65.05,24.03,841.7014393
2015-06-16 00:00:00+00:00,2.35,223.82,255.7,65.71,23.94,848.8339027
2015-06-17 00:00:00+00:00,2.47,223.31,257.12,65.25,24.53,850.4369523
2015-06-18 00:00:00+00:00,2.52,225.04,261.35,66.14,25,859.5588211
2015-06-19 00:00:00+00:00,2.58,225.13,262.79,66.14,24.65,859.0119631
2015-06-22 00:00:00+00:00,2.62,227.9,260.04,66.02,23.95,862.2210208
2015-06-23 00:00:00+00:00,2.61,227.92,259.26,65.71,24.13,862.3559959
2015-06-24 00:00:00+00:00,2.62,226.42,256.11,65.83,24.12,857.6601773
2015-06-25 00:00:00+00:00,2.58,225.89,256.59,66.09,23.94,855.8528645
2015-06-26 00:00:00+00:00,2.47,226.76,258.87,66.05,23.83,857.8264675
2015-06-29 00:00:00+00:00,2.34,219.27,250.33,65.36,23.53,833.2512863
2015-06-30 00:00:00+00:00,2.4,218.6,254,64.7,23.36,831.4224569
2015-07-01 00:00:00+00:00,2.42,220.07,255.64,65.68,23.13,836.0411672
2015-07-02 00:00:00+00:00,2.53,219.25,255.34,65.64,23.67,836.5706755
2015-07-06 00:00:00+00:00,2.47,215.75,255.51,65.8,23.86,828.4526857
2015-07-07 00:00:00+00:00,2.09,215.65,257.5,65.94,22.41,821.2229907
2015-07-08 00:00:00+00:00,2.01,208.8,256.35,65.72,22.52,803.2233998
2015-07-09 00:00:00+00:00,1.98,210.63,256.68,65.97,22.59,808.4883262
2015-07-10 00:00:00+00:00,1.96,213.82,258.78,66.86,22.52,818.0470466
2015-07-13 00:00:00+00:00,1.96,216.52,259.94,67.15,22.5,825.5931734
2015-07-14 00:00:00+00:00,2.05,216.66,261.07,67.65,22.15,825.8301734
2015-07-15 00:00:00+00:00,1.96,216.73,259.8,68.03,21.8,824.2031826
2015-07-16 00:00:00+00:00,1.87,219.99,262.12,68.93,21.38,832.2345082
2015-07-17 00:00:00+00:00,1.79,218.8,263.5,68.42,20.69,825.7166556
2015-07-20 00:00:00+00:00,1.8,218.24,270.24,69.05,18.16,816.4963852
2015-07-21 00:00:00+00:00,1.8,217.9,268.84,68.91,18.74,817.4768098
2015-07-22 00:00:00+00:00,1.79,218.69,269.55,69.7,18.52,819.736283
2015-07-23 00:00:00+00:00,1.76,216.25,269.39,69.38,17.6,808.9981816
2015-07-24 00:00:00+00:00,1.67,213.69,276.06,69.42,17.8,805.145029
2015-07-27 00:00:00+00:00,1.62,210.16,276.64,68.76,17.22,792.8034163
2015-07-28 00:00:00+00:00,1.77,208.02,279.2,69.1,17.64,791.0229805
2015-07-29 00:00:00+00:00,1.96,210.41,279.22,69.95,17.67,799.1292932
2015-07-30 00:00:00+00:00,1.93,209.25,282.58,70.09,17.29,795.6815181
2015-07-31 00:00:00+00:00,1.93,207.9,278.91,69.86,17.17,790.2475768
2015-08-03 00:00:00+00:00,2.2,208.75,282.89,69.71,16.42,791.4489705
2015-08-04 00:00:00+00:00,2.13,211.02,280.04,69.97,16.4,796.268924
2015-08-05 00:00:00+00:00,2.16,212.08,280.45,70.45,16.35,799.6245679
2015-08-06 00:00:00+00:00,2.11,209.63,280,69.72,16.36,792.1381565
2015-08-07 00:00:00+00:00,2.09,209.02,280.39,70.24,16.14,790.3386244
2015-08-10 00:00:00+00:00,1.93,211.83,280.09,71.11,16.95,801.2949716
2015-08-11 00:00:00+00:00,1.9,207.5,279.43,70.23,17.03,789.1365641
2015-08-12 00:00:00+00:00,1.9,203.33,280.35,70.83,18.14,784.2872418
2015-08-13 00:00:00+00:00,1.79,203.53,282.23,71.31,17.49,782.7705095
2015-08-14 00:00:00+00:00,1.84,205.55,284.4,71.22,17.35,788.1268643
2015-08-17 00:00:00+00:00,1.8,205.72,284.51,71.63,17.85,791.0797281
2015-08-18 00:00:00+00:00,1.8,204.91,287.42,71.59,17.54,788.5784175
2015-08-19 00:00:00+00:00,1.8,201.77,285.59,71.22,17.93,781.1721321
2015-08-20 00:00:00+00:00,1.7,196.85,279.96,70.14,18.55,767.6609556
2015-08-21 00:00:00+00:00,1.78,190.72,271.31,68.27,18.14,745.449755
2015-08-24 00:00:00+00:00,1.75,182.73,255.53,65.95,16.89,711.5690793
2015-08-25 00:00:00+00:00,1.66,179.59,251.11,65.88,16.17,698.5839807
2015-08-26 00:00:00+00:00,1.72,184.71,260.8,68.71,15.81,717.0645079
2015-08-27 00:00:00+00:00,1.78,189.07,266.14,67.82,16.7,732.8507581
2015-08-28 00:00:00+00:00,1.85,187.48,268.78,68.78,17.17,733.157566
2015-08-31 00:00:00+00:00,1.81,186.44,269.77,67.96,17.07,729.1942426
2015-09-01 00:00:00+00:00,1.71,179.21,262.87,65.61,16.73,703.6766445
2015-09-02 00:00:00+00:00,1.77,178.83,269.95,66.9,16.21,704.6522135
2015-09-03 00:00:00+00:00,1.79,177.57,274.44,67.47,16.19,703.6043622
2015-09-04 00:00:00+00:00,1.82,173.25,269.88,66.44,15.7,687.840644
2015-09-08 00:00:00+00:00,1.88,180.63,279.28,68.35,15.96,713.4843767
2015-09-09 00:00:00+00:00,1.85,177.61,281,67.67,15.62,703.8969215
2015-09-10 00:00:00+00:00,1.84,176.94,285.14,68.12,15.56,703.7933799
2015-09-11 00:00:00+00:00,2.01,176.01,289.62,69.1,16.24,707.7228118
2015-09-14 00:00:00+00:00,1.82,174.64,289.7,68.59,15.89,701.3139397
2015-09-15 00:00:00+00:00,1.86,177.76,290.05,69.59,15.97,711.1605194
2015-09-16 00:00:00+00:00,1.89,180.85,290.57,70.08,16.94,724.1017083
2015-09-17 00:00:00+00:00,1.89,179.52,290.07,70,17.24,721.7259669
2015-09-18 00:00:00+00:00,1.87,175.21,285.51,69.51,16.98,707.4397452
2015-09-21 00:00:00+00:00,1.81,176.02,292.02,70,16.63,710.4807147
2015-09-22 00:00:00+00:00,1.73,171.85,288.45,69.56,15.59,693.3507086
2015-09-23 00:00:00+00:00,1.7,169.88,288.89,69.82,15.55,688.4951728
2015-09-24 00:00:00+00:00,1.72,170.01,279.67,69.61,16.78,690.9201229
2015-09-25 00:00:00+00:00,1.71,170.59,279.3,69.93,16.59,691.8305132
2015-09-28 00:00:00+00:00,1.66,165.65,270.49,68.45,16.02,671.8651183
2015-09-29 00:00:00+00:00,1.67,166.61,268.98,68.89,15.82,673.5697577
2015-09-30 00:00:00+00:00,1.72,170.99,273.4,69.61,16.07,688.3629138
2015-10-01 00:00:00+00:00,1.74,170.36,276.46,69.67,15.84,686.921439
2015-10-02 00:00:00+00:00,1.83,170.51,279.58,70.87,17.07,695.4568716
2015-10-05 00:00:00+00:00,1.8,174.33,283.44,72.09,17.95,711.6232125
2015-10-06 00:00:00+00:00,1.83,174.07,271.55,71.97,18.35,708.8007124
2015-10-07 00:00:00+00:00,1.86,177.07,265.41,72.57,18.94,717.8756259
2015-10-08 00:00:00+00:00,1.93,177.05,267.34,73.51,18.66,718.7318586
2015-10-09 00:00:00+00:00,1.96,177.07,269.88,73.89,18.93,721.3620724
2015-10-12 00:00:00+00:00,1.87,175.13,272.56,74.08,18.45,715.0868127
2015-10-13 00:00:00+00:00,1.92,171.01,271.7,73.55,18.37,703.4945639
2015-10-14 00:00:00+00:00,1.95,170.6,274.7,73.03,19.47,707.5866698
2015-10-15 00:00:00+00:00,1.97,175.61,280.1,73.4,19.3,721.9433456
2015-10-16 00:00:00+00:00,1.94,176.7,286.3,73.54,18.99,725.455037
2015-10-19 00:00:00+00:00,2.01,172.93,290.71,74.09,18.55,716.3667845
2015-10-20 00:00:00+00:00,2.02,173.13,293.36,74,18.84,718.9008977
2015-10-21 00:00:00+00:00,2.1,168.75,292.28,73.37,18.42,705.1223103
2015-10-22 00:00:00+00:00,2.14,176.88,294.62,75.22,19.03,731.7336308
2015-10-23 00:00:00+00:00,2.21,181.71,294.84,76.1,19.55,747.7570302
2015-10-26 00:00:00+00:00,2.15,181.02,301.2,76.33,18.8,744.8851342
2015-10-27 00:00:00+00:00,2.15,178.57,296.09,75.41,18.77,735.6932494
2015-10-28 00:00:00+00:00,2.18,183.3,294.59,77.46,19.15,751.6133049
2015-10-29 00:00:00+00:00,2.13,179.87,292.91,77.71,19.89,745.580586
2015-10-30 00:00:00+00:00,2.12,180.26,296.68,77.34,19.46,745.4495508
2015-11-02 00:00:00+00:00,2.19,185.06,303.58,77.55,19.63,761.2161497
2015-11-03 00:00:00+00:00,2.28,186.75,299.31,77.13,19.22,762.2487148
2015-11-04 00:00:00+00:00,2.2,186.65,295.99,77.59,19.01,760.2661902
2015-11-05 00:00:00+00:00,2.2,187.31,295.8,77.19,17.5,754.9364638
2015-11-06 00:00:00+00:00,2.15,188.97,290.37,77.87,17.54,758.2354643
2015-11-09 00:00:00+00:00,2.11,177.87,292.4,78.5,17.86,732.5525902
2015-11-10 00:00:00+00:00,2.02,177.05,297.54,78.39,17.46,729.8945772
2015-11-11 00:00:00+00:00,2.07,176.78,296.92,78,17.79,730.1337444
2015-11-12 00:00:00+00:00,2,171.29,294.74,77.31,17.33,712.2880561
2015-11-13 00:00:00+00:00,1.99,167.53,291.07,76.89,17.5,701.6599986
2015-11-16 00:00:00+00:00,1.99,172.07,295.39,78.57,17.63,717.3156154
2015-11-17 00:00:00+00:00,1.98,170.45,299.07,78.77,16.88,711.3768824
2015-11-18 00:00:00+00:00,2.12,176.34,293.09,79.57,17.63,729.2785858
2015-11-19 00:00:00+00:00,2.14,176.71,286.11,79.1,18.05,729.2530604
2015-11-20 00:00:00+00:00,2.22,175.26,298.6,79.17,17.68,728.4336587
2015-11-23 00:00:00+00:00,2.22,174.82,297.73,78.84,17.56,726.1011913
2015-11-24 00:00:00+00:00,2.34,175.54,293.21,78.64,18,728.6109864
2015-11-25 00:00:00+00:00,2.38,176.18,295.13,78.7,17.91,730.7247427
2015-11-27 00:00:00+00:00,2.33,176.69,297.75,78.78,17.39,730.5424157
2015-11-30 00:00:00+00:00,2.36,177.23,296.5,79.38,18.41,736.7553193
2015-12-01 00:00:00+00:00,2.34,179.87,300.63,79.58,18.39,744.9104235
2015-12-02 00:00:00+00:00,2.27,175.73,299.66,79.14,17.85,730.8747386
2015-12-03 00:00:00+00:00,2.23,170.65,295.22,78.94,18.73,719.8118011
2015-12-04 00:00:00+00:00,2.28,175.52,301.2,79,20.46,741.8488655
2015-12-07 00:00:00+00:00,2.355,172.6,297.58,78.87,19.75,730.3462394
2015-12-08 00:00:00+00:00,2.39,169.05,298.1,78.22,19.38,719.2018478
2015-12-09 00:00:00+00:00,2.35,166.6,298.24,77.68,19.6,713.0845054
2015-12-10 00:00:00+00:00,2.45,165.86,295.65,77.93,19.43,710.3691683
2015-12-11 00:00:00+00:00,2.36,152.76,289.94,77.4,19.13,672.7601758
2015-12-14 00:00:00+00:00,2.34,144.01,293.55,77.83,18.35,648.7202976
2015-12-15 00:00:00+00:00,2.36,152.24,290.02,78.13,18.4,669.2609625
2015-12-16 00:00:00+00:00,2.54,159.08,295.49,77.74,19.08,691.6578129
2015-12-17 00:00:00+00:00,2.56,157.73,293.41,77.22,17.61,680.6910493
2015-12-18 00:00:00+00:00,2.45,153.75,289.35,77.53,17.71,669.5748865
2015-12-21 00:00:00+00:00,2.53,154.23,295.74,77.51,17.65,672.920702
2015-12-22 00:00:00+00:00,2.77,157.92,296.93,77.76,17.8,684.6903314
2015-12-23 00:00:00+00:00,2.83,162.65,297.35,77.92,18.14,698.8050518
2015-12-24 00:00:00+00:00,2.92,163.1,297.19,78.14,18.54,702.2666644
2015-12-28 00:00:00+00:00,3,163.25,300.91,78.42,17.91,701.8510278
2015-12-29 00:00:00+00:00,3,162.66,304.98,79.25,18.03,703.2187297
2015-12-30 00:00:00+00:00,2.98,160.74,302.69,78.99,17.77,696.0559426
2015-12-31 00:00:00+00:00,2.87,159.76,302.4,78.06,17.99,692.765168
2016-01-04 00:00:00+00:00,2.77,155.99,296.08,76.53,18.44,680.6731481
2016-01-05 00:00:00+00:00,2.75,154.73,303.41,77.65,18.42,681.0675214
2016-01-06 00:00:00+00:00,2.505,147.93,309.13,77.71,18.56,665.2012872
2016-01-07 00:00:00+00:00,2.275,139,303.29,76.88,18.86,639.7879577
2016-01-08 00:00:00+00:00,2.14,134.23,309.79,76.45,18.01,624.9730953
2016-01-11 00:00:00+00:00,2.34,135.84,312.88,76.73,17.01,627.0057616
2016-01-12 00:00:00+00:00,2.39,136.37,314.92,77.9,17.01,630.7026532
2016-01-13 00:00:00+00:00,2.25,131.16,305.58,75.78,17.48,613.1327838
2016-01-14 00:00:00+00:00,2.21,131.82,310.99,77.12,17.27,617.188614
2016-01-15 00:00:00+00:00,2.03,128.2,303.19,74.53,17.7,603.2430164
2016-01-19 00:00:00+00:00,1.95,128.61,295.11,75.62,16.31,596.7782099
2016-01-20 00:00:00+00:00,1.8,126.57,294.36,75.14,16.56,591.1598783
2016-01-21 00:00:00+00:00,2.09,127.44,289.78,76.55,16.69,595.4541891
2016-01-22 00:00:00+00:00,2.02,134.53,297.05,78.32,16.68,617.7920711
2016-01-25 00:00:00+00:00,2.12,128.18,299.93,77.38,17.67,605.9806013
2016-01-26 00:00:00+00:00,2.07,131.4,303.64,77.98,18.5,619.4880534
2016-01-27 00:00:00+00:00,2.13,131.1,299.57,77.92,19.44,621.5988425
2016-01-28 00:00:00+00:00,2.08,128.78,300.22,78.15,19.53,616.3509764
2016-01-29 00:00:00+00:00,2.2,134.19,310.57,81.18,19.96,639.663716
2016-02-01 00:00:00+00:00,2.14,132.2,311.44,81.34,20.55,637.3342551
2016-02-02 00:00:00+00:00,1.99,122.6,312.59,80.71,20.07,609.727717
2016-02-03 00:00:00+00:00,2.07,122.4,309.54,79.88,22.34,617.2175662
2016-02-04 00:00:00+00:00,2.09,128.66,308.45,79.75,23.38,637.2049351
2016-02-05 00:00:00+00:00,1.98,124.75,288.44,78.61,24.41,623.2577734
2016-02-08 00:00:00+00:00,1.93,120.36,268.84,76.57,25.19,606.269146
2016-02-09 00:00:00+00:00,1.9,119.94,265.05,76.6,24.3,600.0827729
2016-02-10 00:00:00+00:00,1.84,120.99,273.34,77.3,24.31,606.1136088
2016-02-11 00:00:00+00:00,1.86,117.8,275.05,77.01,25.04,601.3608515
2016-02-12 00:00:00+00:00,1.83,124.42,284.88,79.29,25.78,627.3406815
2016-02-16 00:00:00+00:00,1.83,126.62,291.3,80.97,24.56,631.9369737
2016-02-17 00:00:00+00:00,1.9,130.6,290.65,80.02,24.84,642.1789595
2016-02-18 00:00:00+00:00,1.91,129.2,290.31,82.11,25.07,642.1536517
2016-02-19 00:00:00+00:00,1.91,129.54,299.37,83.01,24.84,646.1010359
2016-02-22 00:00:00+00:00,2.01,134.99,299.83,84.3,25.12,663.4024735
2016-02-23 00:00:00+00:00,1.97,129.17,292.06,83.57,25.39,646.1017114
2016-02-24 00:00:00+00:00,2.02,128.93,295.01,83.91,25.58,647.8930388
2016-02-25 00:00:00+00:00,2.03,130.3,307.49,84.41,25.85,657.2480612
2016-02-26 00:00:00+00:00,2.07,136.93,306.77,83.24,25.35,670.49626
2016-02-29 00:00:00+00:00,2.14,138.69,303.69,82.24,25.83,675.0779533
2016-03-01 00:00:00+00:00,2.18,144.18,308.4,82.75,25.39,689.5443353
2016-03-02 00:00:00+00:00,2.32,145.19,304.01,82.1,26.24,694.1046106
2016-03-03 00:00:00+00:00,2.46,150.01,310.59,82.12,26.82,711.6254426
2016-03-04 00:00:00+00:00,2.37,153.22,309.72,82.2,26.11,716.2265342
2016-03-07 00:00:00+00:00,2.47,151.58,297.73,81.94,26.53,710.0535128
2016-03-08 00:00:00+00:00,2.3,147.33,298.75,80.99,25.89,694.8890849
2016-03-09 00:00:00+00:00,2.26,148.27,301.26,81.02,26.14,699.0363395
2016-03-10 00:00:00+00:00,2.26,145.9,306.71,81.09,27.35,700.0044087
2016-03-11 00:00:00+00:00,2.52,153.66,318,81.38,26.68,722.0586048
2016-03-14 00:00:00+00:00,2.72,151.62,314.02,81.23,26.13,713.8705654
2016-03-15 00:00:00+00:00,2.49,148.25,312.47,81.2,26.37,704.7862801
2016-03-16 00:00:00+00:00,2.63,152.92,316.76,82.07,27.55,724.8176783
2016-03-17 00:00:00+00:00,2.8,159.94,316.98,82.86,27.46,744.1335039
2016-03-18 00:00:00+00:00,2.93,160,315.76,82.83,27.79,745.8117654
2016-03-21 00:00:00+00:00,2.8,162.38,317.39,82.77,27.79,751.7896214
2016-03-22 00:00:00+00:00,2.79,161.49,319.04,82.92,27.39,748.4898284
2016-03-23 00:00:00+00:00,2.68,158.98,319.36,82.97,24.98,731.4938155
2016-03-24 00:00:00+00:00,2.79,157.43,320.75,82.99,25.4,730.2693843
2016-03-28 00:00:00+00:00,2.78,156.53,323.77,83.02,25.7,730.2251398
2016-03-29 00:00:00+00:00,2.86,160.33,329.34,84.46,26.95,749.2139776
2016-03-30 00:00:00+00:00,2.86,163.05,328.11,85.96,26.75,756.7946514
2016-03-31 00:00:00+00:00,2.85,162.4,330.71,84.57,26.58,753.4562964
2016-04-01 00:00:00+00:00,2.83,163.89,329.94,85.13,26.62,757.8025704
2016-04-04 00:00:00+00:00,2.83,160.62,333.11,84.1,26.3,747.8164601
2016-04-05 00:00:00+00:00,2.76,159.24,328.64,83.5,27.3,746.0694905
2016-04-06 00:00:00+00:00,2.8,160.7,327.41,84.41,27.74,752.5926907
2016-04-07 00:00:00+00:00,2.64,156,325.81,83.74,27.96,739.5008271
2016-04-08 00:00:00+00:00,2.74,157.28,325.99,83.49,29.1,747.8010508
2016-04-11 00:00:00+00:00,2.76,159.14,323.99,82.66,31.11,759.5247633
2016-04-12 00:00:00+00:00,2.81,164.15,322.13,82.17,30.63,769.2541489
2016-04-13 00:00:00+00:00,2.8,170.49,321.55,82.55,29.48,780.7737171
2016-04-14 00:00:00+00:00,2.72,171.82,320.75,82.25,28.68,779.778035
2016-04-15 00:00:00+00:00,2.7,169.99,324.1,82.41,29.37,779.2540331
2016-04-18 00:00:00+00:00,2.76,170.25,325.59,82.47,29.46,781.1119655
2016-04-19 00:00:00+00:00,2.62,172.68,324.86,83.33,30.91,793.7644416
2016-04-20 00:00:00+00:00,2.7,175.18,325.11,83.09,30.45,798.2962123
2016-04-21 00:00:00+00:00,2.62,174.91,319.89,82.1,32.19,801.7667735
2016-04-22 00:00:00+00:00,3.99,177.75,322.01,81.88,31.23,811.0966249
2016-04-25 00:00:00+00:00,3.45,174.93,326.82,81.89,31.11,802.6780035
2016-04-26 00:00:00+00:00,3.66,177.46,330.11,82.23,31.97,815.1848061
2016-04-27 00:00:00+00:00,3.73,179.01,331.82,82.13,32.1,820.4177021
2016-04-28 00:00:00+00:00,3.61,173.77,328.24,81.94,32.99,808.942496
2016-04-29 00:00:00+00:00,3.55,170.32,330.35,81.03,34.97,807.8755322
2016-05-02 00:00:00+00:00,3.74,171.85,333.62,82.35,34.34,812.6106264
2016-05-03 00:00:00+00:00,3.6,166.24,332.89,81.45,33.83,794.1541239
2016-05-04 00:00:00+00:00,3.6,162.45,334.83,83.08,32.35,780.8408277
2016-05-05 00:00:00+00:00,3.66,162.62,330.89,82.81,32.86,782.0921898
2016-05-06 00:00:00+00:00,3.68,163.61,336.96,83.6,34.13,793.0841533
2016-05-09 00:00:00+00:00,3.65,161.94,341.04,84.1,31.83,780.8211006
2016-05-10 00:00:00+00:00,3.64,167.58,341.11,84.75,33.03,801.1406017
2016-05-11 00:00:00+00:00,3.65,165.42,340.68,83.59,33.88,797.699315
2016-05-12 00:00:00+00:00,3.59,168.34,346.21,84.43,33.21,804.8833393
2016-05-13 00:00:00+00:00,3.67,162.92,344.37,83.69,34.07,793.5327125
2016-05-16 00:00:00+00:00,3.79,163.87,348.6,84.71,35.42,804.8808297
2016-05-17 00:00:00+00:00,3.79,162.51,342.32,83.82,35.55,798.8139969
2016-05-18 00:00:00+00:00,3.84,165.22,342.05,83.57,33.52,796.869584
2016-05-19 00:00:00+00:00,3.77,161.75,343.05,82.85,34.14,789.7818781
2016-05-20 00:00:00+00:00,3.87,165.35,345,83.06,33.73,798.5354036
2016-05-23 00:00:00+00:00,4.04,164.89,344.66,82.21,33.83,797.3239276
2016-05-24 00:00:00+00:00,4.2,170.66,354.73,84.01,31.74,809.321447
2016-05-25 00:00:00+00:00,4.18,171.64,357.73,83.63,32.38,814.962425
2016-05-26 00:00:00+00:00,4.35,170.3,363.09,83.49,32.45,814.1134203
2016-05-27 00:00:00+00:00,4.6,172.48,366.56,84.34,31.96,820.8307083
2016-05-31 00:00:00+00:00,4.57,173.52,362,84.43,32.41,823.9203169
2016-06-01 00:00:00+00:00,4.43,172.72,365.94,84.55,32.66,823.780648
2016-06-02 00:00:00+00:00,4.24,172.33,367.53,85.27,32.35,822.0816626
2016-06-03 00:00:00+00:00,4.16,171.52,364.69,84.81,35.4,831.2056059
2016-06-06 00:00:00+00:00,4.47,175.48,369.29,84.99,35.43,844.4606462
2016-06-07 00:00:00+00:00,4.51,171.73,370.95,85.01,34.95,833.5696844
2016-06-08 00:00:00+00:00,4.46,170.94,372.94,85.44,35.38,834.3639732
2016-06-09 00:00:00+00:00,4.52,166.51,373.21,85.78,35.9,826.046482
2016-06-10 00:00:00+00:00,4.32,159.68,370.3,84.52,35.79,804.7735092
2016-06-13 00:00:00+00:00,4.4,156.99,369.32,83.77,35.89,797.4102619
2016-06-14 00:00:00+00:00,4.39,154.17,369.31,84.7,35.15,788.1787736
2016-06-15 00:00:00+00:00,4.42,153.84,372.1,83.92,36.24,792.0368928
2016-06-16 00:00:00+00:00,4.75,151.99,377.46,83.83,35.61,787.6339189
2016-06-17 00:00:00+00:00,5.26,151.72,374.58,82.49,35.65,786.6456855
2016-06-20 00:00:00+00:00,5.1,153.23,373.91,83.65,35.33,789.7038766
2016-06-21 00:00:00+00:00,5.45,153.21,379.51,83.48,34.83,790.5878937
2016-06-22 00:00:00+00:00,5.02,154.37,379.65,83.38,35.72,795.4567609
2016-06-23 00:00:00+00:00,5.21,159.56,385.43,84.37,35.39,811.2099281
2016-06-24 00:00:00+00:00,4.88,141.1,375.95,83.22,37.19,765.8781876
2016-06-27 00:00:00+00:00,4.72,132.73,371.16,82.05,37.69,742.9542196
2016-06-28 00:00:00+00:00,5.12,136.54,377.03,84.48,37.17,757.1021783
2016-06-29 00:00:00+00:00,5.13,140.02,386.02,85.39,37.69,772.2990497
2016-06-30 00:00:00+00:00,5.14,140.77,387.73,87.27,39.12,783.2840422
2016-07-01 00:00:00+00:00,5.07,138.47,386.88,87.23,40.34,782.0039604
2016-07-05 00:00:00+00:00,4.96,134.19,386.14,87.25,40.38,770.5733604
2016-07-06 00:00:00+00:00,5.04,132.45,387.44,87.32,41.42,771.4193562
2016-07-07 00:00:00+00:00,5.02,134.36,382.68,86.8,40.96,772.0519949
2016-07-08 00:00:00+00:00,5.1,138.85,389.45,87.79,41.14,788.0530118
2016-07-11 00:00:00+00:00,5.01,139.97,388.75,88.38,41.06,790.7078707
2016-07-12 00:00:00+00:00,5.14,143.74,387.2,88.19,39.96,795.4398084
2016-07-13 00:00:00+00:00,5.09,142.92,386.71,88.43,40.88,797.2093551
2016-07-14 00:00:00+00:00,5.17,144.23,383.81,88.11,41.62,802.7100137
2016-07-15 00:00:00+00:00,5.14,144.64,379.97,87.8,41.33,800.7599697
2016-07-18 00:00:00+00:00,5.51,146.42,380.4,87.48,41.63,807.879302
2016-07-19 00:00:00+00:00,5.41,145.98,380.01,87.73,41.39,805.4988547
