date,AAP,ICE,K,REGN,XLNX,portfolio_value,port_val_chg_1_days,port_val_chg_5_days,port_val_chg_5_days_bin
2015-09-23 00:00:00+00:00,175.87,229.27,67.29,536.5,41.51,1237.5532774091555,0.008514205904386563,-0.017609619346171446,0
2015-09-24 00:00:00+00:00,174.8,226.69,67.21,522.0,42.0,1226.0209931697693,-0.009318616377897881,-0.02476300588997682,0
2015-09-25 00:00:00+00:00,176.84,235.0,68.22,490.67,41.93,1236.8343350404286,0.008819866813782884,-0.0033938184527417814,0
2015-09-28 00:00:00+00:00,171.4,227.98,66.51,453.98,40.66,1192.0232595874222,-0.03623045882821618,-0.03975647180951125,0
2015-09-29 00:00:00+00:00,170.53,227.79,66.45,451.82,40.96,1190.13052163592,-0.0015878364254043875,-0.030131825546128477,0
2015-09-30 00:00:00+00:00,189.53,234.99,66.55,465.14,42.4,1241.0850549702413,0.04281423962161779,0.002853838800766395,1
2015-10-01 00:00:00+00:00,192.04,233.54,66.24,472.97,41.86,1242.3947917356707,0.0010553158787820482,0.013355235071112803,1
2015-10-02 00:00:00+00:00,191.69,231.48,67.41,479.07,42.36,1244.6933508405448,0.001850103622587529,0.0063541377995939285,1
2015-10-05 00:00:00+00:00,191.17,236.96,68.06,473.14,43.64,1258.185038807173,0.010839366947302587,0.05550376528948808,1
2015-10-06 00:00:00+00:00,191.1,236.28,67.55,459.82,44.04,1250.985394647187,-0.005722245884287158,0.05113294038339378,1
2015-10-07 00:00:00+00:00,190.35,233.79,68.22,485.76,44.47,1257.8838731261078,0.0055144356668259675,0.01353558975558622,1
2015-10-08 00:00:00+00:00,187.35,234.16,69.24,491.21,45.14,1261.2202566456326,0.0026523780062726043,0.015152562643684364,1
2015-10-09 00:00:00+00:00,189.52,228.9,69.44,503.92,44.9,1258.2739404016986,-0.0023360838270787276,0.010910791442713785,1
2015-10-12 00:00:00+00:00,191.28,233.4,69.83,526.83,44.69,1279.666668594053,0.017001646068840026,0.01707350598227242,1
2015-10-13 00:00:00+00:00,190.85,231.16,69.36,508.04,44.48,1265.1743949502657,-0.011325037995800646,0.011342258961448914,1
2015-10-14 00:00:00+00:00,187.07,229.35,68.65,509.28,45.38,1256.694433576543,-0.006702602745968567,-0.0009455877247308564,0
2015-10-15 00:00:00+00:00,190.55,236.22,69.2,519.35,46.27,1283.6890867086145,0.021480681708157867,0.01781515159195135,1
2015-10-16 00:00:00+00:00,190.8,237.89,69.79,514.59,46.51,1288.0131836723208,0.003368492424278058,0.0236349512739078,1
2015-10-19 00:00:00+00:00,191.4,240.27,69.61,523.56,46.56,1296.897349676642,0.006897573811310842,0.013464976079684998,1
2015-10-20 00:00:00+00:00,193.59,241.64,68.97,514.67,46.59,1297.5749937480848,0.0005225117250888811,0.02560959099958149,1
2015-10-21 00:00:00+00:00,192.15,236.88,69.61,518.53,46.69,1289.271716500483,-0.0063990731076108975,0.02592299452717839,1
2015-10-22 00:00:00+00:00,191.87,245.74,72.01,525.11,47.63,1319.3244588535204,0.023309859332531158,0.027760127054032413,1
2015-10-23 00:00:00+00:00,191.94,248.8,71.7,536.7,47.16,1328.2066512713573,0.006732379103738806,0.031205788969052906,1
2015-10-26 00:00:00+00:00,192.45,247.39,71.55,545.87,47.8,1330.7177672867497,0.0018906064150399082,0.026077944887881843,1
2015-10-27 00:00:00+00:00,193.27,255.71,71.04,567.79,49.22,1359.7679216519869,0.021830439992146955,0.04793012211514336,1
2015-10-28 00:00:00+00:00,194.28,257.67,70.92,571.14,49.13,1365.9996554729014,0.004582939280802778,0.05951262095525034,1
2015-10-29 00:00:00+00:00,197.48,261.84,70.99,560.02,48.0,1372.2623338060946,0.00458468514841992,0.04012498562982514,1
2015-10-30 00:00:00+00:00,198.43,252.4,70.52,557.39,47.62,1350.593015977516,-0.015790944118153294,0.016854579582725737,1
2015-11-02 00:00:00+00:00,200.38,261.35,70.61,579.0,47.75,1380.9768340382223,0.022496649768853905,0.0377683893512204,1
2015-11-03 00:00:00+00:00,198.7,260.5,68.09,578.0,47.29,1367.840913593151,-0.009512049819589974,0.005937036616775249,1
2015-11-04 00:00:00+00:00,199.34,260.25,68.68,564.0,47.38,1364.7519372789932,-0.002258286240351959,-0.0009134103284061945,0
2015-11-05 00:00:00+00:00,200.34,261.5,69.37,564.16,47.21,1370.4451498014018,0.004171609775297069,-0.0013242249385747584,0
2015-11-06 00:00:00+00:00,198.72,262.32,67.93,562.0,47.63,1365.814932136301,-0.0033786231180225057,0.011270542627356717,1
2015-11-09 00:00:00+00:00,194.9,261.3,67.47,558.52,47.36,1354.897229636456,-0.007993544544697917,-0.018884896371146875,0
2015-11-10 00:00:00+00:00,194.11,263.69,67.33,564.86,47.06,1360.05455933854,0.0038064360818479415,-0.005692441406915716,0
2015-11-11 00:00:00+00:00,194.67,263.98,67.62,566.41,47.08,1362.9606175691592,0.002136721803302155,-0.0013125606646182675,0
